Top 500 latents with highest separation scores (ascending order):
Format: Latent_idx: Score (f_suffix, f_original)
355. Latent 1134:  0.240 ( 0.320,  0.080)
356. Latent 1339:  0.240 ( 0.240,  0.000)
357. Latent 1344:  0.240 ( 0.240,  0.000)
358. Latent  381:  0.240 ( 0.710,  0.470)
359. Latent 1178:  0.240 ( 0.400,  0.160)
360. Latent 1936:  0.240 ( 0.270,  0.030)
361. Latent  902:  0.230 ( 0.250,  0.020)
362. Latent 1198:  0.230 ( 0.280,  0.050)
363. Latent   85:  0.230 ( 0.260,  0.030)
364. Latent  706:  0.230 ( 0.240,  0.010)
365. Latent  841:  0.230 ( 0.420,  0.190)
366. Latent  904:  0.230 ( 0.270,  0.040)
367. Latent  978:  0.230 ( 0.240,  0.010)
368. Latent 1049:  0.230 ( 0.240,  0.010)
369. Latent 1213:  0.230 ( 0.520,  0.290)
370. Latent 1250:  0.230 ( 0.240,  0.010)
371. Latent 1252:  0.230 ( 0.300,  0.070)
372. Latent 1457:  0.230 ( 0.300,  0.070)
373. Latent 1650:  0.230 ( 0.230,  0.000)
374. Latent 1971:  0.230 ( 0.240,  0.010)
375. Latent  242:  0.220 ( 0.760,  0.540)
376. Latent 1565:  0.220 ( 0.760,  0.540)
377. Latent  548:  0.220 ( 0.350,  0.130)
378. Latent  600:  0.220 ( 0.630,  0.410)
379. Latent  816:  0.220 ( 0.220,  0.000)
380. Latent  992:  0.220 ( 0.250,  0.030)
381. Latent 1024:  0.220 ( 0.220,  0.000)
382. Latent 1051:  0.220 ( 0.280,  0.060)
383. Latent 1078:  0.220 ( 0.500,  0.280)
384. Latent 1106:  0.220 ( 0.240,  0.020)
385. Latent 1107:  0.220 ( 0.450,  0.230)
386. Latent 1421:  0.220 ( 0.220,  0.000)
387. Latent 1805:  0.220 ( 0.240,  0.020)
388. Latent 1810:  0.220 ( 0.220,  0.000)
389. Latent 1863:  0.220 ( 0.320,  0.100)
390. Latent 1915:  0.220 ( 0.250,  0.030)
