Top 500 latents with highest separation scores (ascending order):
Format: Latent_idx: Score (f_suffix, f_original)
184. Latent 1042:  0.425 ( 0.519,  0.093)
185. Latent 1290:  0.425 ( 0.425,  0.000)
186. Latent 1863:  0.425 ( 0.586,  0.160)
187. Latent  670:  0.422 ( 0.541,  0.119)
188. Latent  943:  0.422 ( 0.474,  0.052)
189. Latent 1256:  0.422 ( 0.743,  0.321)
190. Latent  329:  0.422 ( 0.422,  0.000)
191. Latent  647:  0.422 ( 0.653,  0.231)
192. Latent 1009:  0.422 ( 0.422,  0.000)
193. Latent  256:  0.418 ( 0.537,  0.119)
194. Latent  459:  0.418 ( 0.485,  0.067)
195. Latent  698:  0.418 ( 0.571,  0.153)
196. Latent 1971:  0.418 ( 0.444,  0.026)
197. Latent 1064:  0.414 ( 0.601,  0.187)
198. Latent 1495:  0.414 ( 0.429,  0.015)
199. Latent 1287:  0.414 ( 0.578,  0.164)
200. Latent 1342:  0.414 ( 0.478,  0.063)
201. Latent 1538:  0.414 ( 0.556,  0.142)
202. Latent  112:  0.410 ( 0.425,  0.015)
203. Latent 1613:  0.410 ( 0.560,  0.149)
204. Latent  353:  0.410 ( 0.418,  0.007)
205. Latent 1597:  0.410 ( 0.459,  0.049)
206. Latent 1824:  0.410 ( 0.410,  0.000)
207. Latent 1844:  0.410 ( 0.489,  0.078)
208. Latent  688:  0.407 ( 0.552,  0.146)
209. Latent   87:  0.407 ( 0.474,  0.067)
210. Latent  602:  0.407 ( 0.470,  0.063)
211. Latent 1767:  0.403 ( 0.545,  0.142)
212. Latent 2030:  0.403 ( 0.918,  0.515)
213. Latent 1379:  0.399 ( 0.444,  0.045)
214. Latent 1561:  0.399 ( 0.422,  0.022)
215. Latent  340:  0.396 ( 0.496,  0.101)
216. Latent 1196:  0.396 ( 0.657,  0.261)
217. Latent  287:  0.396 ( 0.489,  0.093)
218. Latent 1377:  0.396 ( 0.537,  0.142)
219. Latent 1629:  0.392 ( 0.493,  0.101)
220. Latent 1615:  0.388 ( 0.593,  0.205)
221. Latent  243:  0.388 ( 0.526,  0.138)
222. Latent 1267:  0.388 ( 0.463,  0.075)
223. Latent  985:  0.384 ( 0.776,  0.392)
224. Latent   24:  0.384 ( 0.694,  0.310)
225. Latent 1001:  0.384 ( 0.451,  0.067)
226. Latent 1190:  0.384 ( 0.422,  0.037)
227. Latent 1618:  0.384 ( 0.410,  0.026)
228. Latent 1699:  0.384 ( 0.937,  0.552)
229. Latent  124:  0.381 ( 0.851,  0.470)
230. Latent  590:  0.381 ( 0.433,  0.052)
231. Latent 1211:  0.381 ( 0.429,  0.049)
232. Latent  884:  0.381 ( 0.440,  0.060)
233. Latent  719:  0.377 ( 0.388,  0.011)
234. Latent  973:  0.377 ( 0.675,  0.299)
235. Latent 1178:  0.377 ( 0.541,  0.164)
236. Latent  199:  0.377 ( 0.847,  0.470)
237. Latent  601:  0.377 ( 0.377,  0.000)
238. Latent  743:  0.377 ( 0.377,  0.000)
239. Latent 1532:  0.377 ( 0.377,  0.000)
240. Latent 1567:  0.377 ( 0.407,  0.030)
241. Latent 1625:  0.377 ( 0.869,  0.493)
242. Latent 1692:  0.377 ( 0.918,  0.541)
243. Latent  113:  0.373 ( 0.657,  0.284)
244. Latent  763:  0.373 ( 0.410,  0.037)
245. Latent  947:  0.373 ( 0.631,  0.257)
246. Latent 1500:  0.373 ( 0.407,  0.034)
247. Latent 1685:  0.373 ( 0.418,  0.045)
248. Latent 1142:  0.369 ( 0.388,  0.019)
249. Latent 1213:  0.369 ( 0.642,  0.272)
250. Latent  498:  0.369 ( 0.451,  0.082)
251. Latent  944:  0.369 ( 0.507,  0.138)
252. Latent 1869:  0.369 ( 0.504,  0.134)
253. Latent 1108:  0.366 ( 0.429,  0.063)
254. Latent 1277:  0.366 ( 0.407,  0.041)
255. Latent 1432:  0.362 ( 0.593,  0.231)
256. Latent  482:  0.362 ( 0.597,  0.235)
257. Latent   28:  0.358 ( 0.575,  0.216)
258. Latent  885:  0.358 ( 0.414,  0.056)
259. Latent 1730:  0.358 ( 0.642,  0.284)
260. Latent 1882:  0.354 ( 0.425,  0.071)
261. Latent  954:  0.354 ( 0.384,  0.030)
262. Latent   78:  0.351 ( 0.388,  0.037)
263. Latent  304:  0.351 ( 0.619,  0.269)
264. Latent 1180:  0.351 ( 0.705,  0.354)
265. Latent  302:  0.351 ( 0.869,  0.519)
266. Latent  610:  0.347 ( 0.519,  0.172)
267. Latent  758:  0.347 ( 0.511,  0.164)
268. Latent 1717:  0.343 ( 0.627,  0.284)
269. Latent 2020:  0.343 ( 0.996,  0.653)
270. Latent  317:  0.343 ( 0.377,  0.034)
271. Latent 1713:  0.343 ( 0.343,  0.000)
272. Latent 1835:  0.343 ( 0.571,  0.228)
273. Latent 1353:  0.340 ( 0.358,  0.019)
274. Latent 1389:  0.340 ( 0.347,  0.007)
275. Latent 1643:  0.340 ( 0.340,  0.000)
276. Latent   85:  0.336 ( 0.362,  0.026)
277. Latent 1183:  0.336 ( 0.396,  0.060)
278. Latent 1236:  0.336 ( 0.571,  0.235)
279. Latent  201:  0.332 ( 0.854,  0.522)
280. Latent  378:  0.332 ( 0.336,  0.004)
281. Latent  431:  0.332 ( 0.396,  0.063)
282. Latent  575:  0.332 ( 0.336,  0.004)
283. Latent  648:  0.332 ( 0.369,  0.037)
